index	token	normalize
۳۶۶	شود	شود
۳۶۷	.	.
	\n	
۳۶۸	آیندگان	آیندگان
۳۶۹	نیز	نیز
۳۷۰	همانند	همانند
۳۷۱	گذشتگان	گذشتگان
۳۷۲	با	با
۳۷۳	چالش‌های	چالش‌های
۳۷۴	فراوانی	فراوانی
۳۷۵	دست	دست
۳۷۶	و	و
۳۷۷	پنجه	پنجه
۳۷۸	نرم	نرم
۳۷۹	خواهند کرد	خواهند‌کرد
	\n	
۳۸۰	دبیرستان	دبیرستان
۳۸۱	شایستگان	شایستگان
۳۸۲	یکی	یکی
۳۸۳	از	از
۳۸۴	مدارس	مدارس
۳۸۵	غیرانتفاعی	غیرانتفاعی
۳۸۶	است	است
	\n	
۳۸۷	که	که
۳۸۸	در	در
۳۸۹	حوزه های	حوزه‌های
۳۹۰	علوم	علوم
۳۹۱	انسانی	انسانی
۳۹۲	ریاضیات	ریاضیات
۳۹۳	و	و
۳۹۴	علوم	علوم
۳۹۵	تجربی	تجربی
۳۹۶	به	به
۳۹۷	تعلیم	تعلیم
۳۹۸	و	و
۳۹۹	تربیت	تربیت
۴۰۰	دانش‌آموزان	دانش‌آموزان
۴۰۱	می پردازد	می‌پردازد
	\n	
۴۰۲	آزادگی	آزادگی
۴۰۳	و	و
۴۰۴	آزاد‌منشی	آزاد‌منشی
۴۰۵	از	از
۴۰۶	ویژگیهای	ویژگی‌های
۴۰۷	اصلی	اصلی
۴۰۸	و	و
۴۰۹	شاخص	شاخص
۴۱۰	امامان	امامان
۴۱۱	بود	بود
۴۱۲	.	.
	\n	
۴۱۳	امروزه	امروزه
۴۱۴	الگوریتم‌های	الگوریتم‌های
۴۱۵	فراابتکاری	فراابتکاری
۴۱۶	نقش	نقش
۴۱۷	مهمی	مهمی
۴۱۸	در	در
۴۱۹	حل	حل
۴۲۰	مسائل	مسائل
۴۲۱	بهینه سازی	بهینه‌سازی
۴۲۲	چند‌هدفه	چند‌هدفه
۴۲۳	دارند	دارند
۴۲۴	.	.
	\n	
۴۲۵	بادکنک	بادکنک
۴۲۶	بوسیله‌ی	بوسیله‌ی
۴۲۷	گاز	گاز
۴۲۸	هلیوم	هلیوم
۴۲۹	پرشده	پرشده
۴۳۰	بود	بود
	\n	
۴۳۱	بادبادکرانی	بادبادکرانی
۴۳۲	و	و
۴۳۳	قایقرانی	قایقرانی
۴۳۴	شغل	شغل
۴۳۵	جالبیست	جالبیست
۴۳۶	.	.
	\n	
۴۳۷	که	که
۴۳۸	نیاز	نیاز
۴۳۹	به	به
۴۴۰	مهارت‌های	مهارت‌های
۴۴۱	خاص	خاص
۴۴۲	خود	خود
۴۴۳	را	را
۴۴۴	دارند	دارند
۴۴۵	.	.
	\n	
۴۴۶	شنوندگان	شنوندگان
۴۴۷	و	و
۴۴۸	بینندگان	بینندگان
۴۴۹	این	این
۴۵۰	برنامه	برنامه
۴۵۱	گروه	گروه
۴۵۲	سنی	سنی
۴۵۳	خاصی	خاصی
۴۵۴	هستند	هستند
۴۵۵	.	.
	\n	
۴۵۶	فعالیت‌های	فعالیت‌های
۴۵۷	مرکز	مرکز
۴۵۸	مذاهب	مذاهب
۴۵۹	اسلامی	اسلامی
۴۶۰	در	در
۴۶۱	شانگهای	شانگهای
۴۶۲	به	به
۴۶۳	جویندگان	جویندگان
۴۶۴	اسلام	اسلام
۴۶۵	معرفی	معرفی
۴۶۶	شد	شد
۴۶۷	.	.
	\n	
۴۶۸	مقالات	مقالات
۴۶۹	و	و
۴۷۰	تحقیقات	تحقیقات
۴۷۱	بسیاری	بسیاری
۴۷۲	برای	برای
۴۷۳	پیشگیری	پیشگیری
۴۷۴	از	از
۴۷۵	بیماری‌های	بیماری‌های
۴۷۶	عفونی	عفونی
۴۷۷	و	و
۴۷۸	باکتریایی	باکتریایی
۴۷۹	ارائه	ارائه
۴۸۰	شده‌است	شده‌است
۴۸۱	.	.
	\n	
۴۸۲	پاکستان	پاکستان
۴۸۳	و	و
۴۸۴	افغانستان	افغانستان
۴۸۵	کشورهای	کشورهای
۴۸۶	همسایه‌ی	همسایه‌ی
۴۸۷	شرقی	شرقی
۴۸۸	ایران	ایران
۴۸۹	هستند	هستند
	\n	
۴۹۰	که	که
۴۹۱	تضاد	تضاد
۴۹۲	منافع	منافع
۴۹۳	با	با
۴۹۴	یکدیگر	یکدیگر
۴۹۵	دارد	دارد
۴۹۶	.	.
	\n	
۴۹۷	فاطمه	فاطمه
۴۹۸	مراعات	مراعات
۴۹۹	حضور	حضور
۵۰۰	مادرش	مادرش
۵۰۱	را	را
۵۰۲	نمی کرد	نمی‌کرد
۵۰۳	.	.
	\n	
۵۰۴	یکی	یکی
۵۰۵	از	از
۵۰۶	آرایه های	آرایه‌های
۵۰۷	ادبی	ادبی
۵۰۸	مراعات	مراعات
۵۰۹	نظیر	نظیر
۵۱۰	است	است
۵۱۱	.	.
	\n	
۵۱۲	کلان	کلان
۵۱۳	شهر	شهر
۵۱۴	اصفهان	اصفهان
۵۱۵	مشکلات	مشکلات
۵۱۶	و	و
۵۱۷	معضلات	معضلات
۵۱۸	خود	خود
۵۱۹	را	را
۵۲۰	دارد	دارد
۵۲۱	.	.
	\n	
۵۲۲	هان	هان
۵۲۳	ای	ای
۵۲۴	پسر	پسر
۵۲۵	!	!
	\n	
۵۲۶	مکان	مکان
۵۲۷	تاریک	تاریک
۵۲۸	جای	جای
۵۲۹	خوبی	خوبی
۵۳۰	برای	برای
۵۳۱	رشد	رشد
۵۳۲	باکتری ها	باکتری‌ها
۵۳۳	است	است
۵۳۴	.	.
	\n	
۵۳۵	زمان	زمان
۵۳۶	بازی	بازی
۵۳۷	فوتبال	فوتبال
۵۳۸	بارسلونا	بارسلونا
۵۳۹	و	و
۵۴۰	رئال مادرید	رئال‌مادرید
۵۴۱	ساعت	ساعت
۵۴۲	20	۲۰
۵۴۳	روز	روز
۵۴۴	هجدهم	هجدهم
۵۴۵	آبان	آبان
۵۴۶	است	است
۵۴۷	.	.
	\n	
۵۴۸	طاووس	طاووس
۵۴۹	خرامان	خرامان
۵۵۰	،	،
۵۵۱	خرامان	خرامان
۵۵۲	راه	راه
۵۵۳	می رود	می‌رود
۵۵۴	.	.
	\n	
۵۵۵	همه ی	همه‌ی
۵۵۶	شهرها	شهرها
۵۵۷	یک	یک
۵۵۸	میدان	میدان
۵۵۹	به	به
۵۶۰	نام	نام
۵۶۱	آزادی	آزادی
۵۶۲	دارند	دارند
۵۶۳	.	.
	\n	
۵۶۴	علی	علی
۵۶۵	دوان	دوان
۵۶۶	دوان	دوان
۵۶۷	گریان	گریان
۵۶۸	و	و
۵۶۹	نالان	نالان
۵۷۰	به	به
۵۷۱	مدرسه	مدرسه
۵۷۲	رفت	رفت
۵۷۳	.	.
	\n	
۵۷۴	کشور	کشور
۵۷۵	آلمان	آلمان
۵۷۶	در	در
۵۷۷	قاره ی	قاره‌ی
۵۷۸	سبز	سبز
۵۷۹	قرار	قرار
۵۸۰	دارد	دارد
۵۸۱	.	.
	\n	
۵۸۲	شکوفه	شکوفه
۵۸۳	خندان	خندان
۵۸۴	با	با
۵۸۵	شیرینی	شیرینی
۵۸۶	وارد	وارد
۵۸۷	شد	شد
۵۸۸	.	.
	\n	
۵۸۹	امان	امان
۵۹۰	بده	بده
۵۹۱	!!!	!
	\n	
۵۹۲	امارات	امارات
۵۹۳	متحده	متحده
۵۹۴	عربی	عربی
۵۹۵	یکی	یکی
۵۹۶	از	از
۵۹۷	کشورهای	کشورهای
۵۹۸	حوزه ی	حوزه‌ی
۵۹۹	خلیج فارس	خلیج‌فارس
۶۰۰	است	است
۶۰۱	.	.
	\n	
۶۰۲	Emily	Emily
۶۰۳	Rose 	 Rose
۶۰۴	در	در
۶۰۵	سال	سال
۶۰۶	1997	۱۹۹۷
۶۰۷	جن زده شد	جن‌زده‌شد
۶۰۸	.	.
	\n	
۶۰۹	ناودانی ها	ناودانی‌ها
۶۱۰	از	از
۶۱۱	آشغال	آشغال
۶۱۲	پرشده بود	پرشده‌بود
۶۱۳	.	.
	\n	
۶۱۴	نادان	نادان
۶۱۵	همه	همه
۶۱۶	را	را 
۶۱۷	به	به
۶۱۸	چشم	چشم
۶۱۹	خویش	خویش
۶۲۰	می بیند	می‌بیند
۶۲۱	سعید	سعید
۶۲۲	در	در
۶۲۳	عنفوان	عنفوان
۶۲۴	جوانی	جوانی
۶۲۵	در گذشت	درگذشت
۶۲۶	.	.
	\n	
۶۲۷	قوری	قوری
۶۲۸	گلگلی	گلگلی
۶۲۹	شکست	شکست
۶۳۰	در	در
۶۳۱	این	این
۶۳۲	دنیای	دنیای
۶۳۳	وانفساء	وانفسای
۶۳۴	...	...
۶۳۵	حسرت زای	حسرت‌زای
۶۳۶	بی فردا	بی‌فردا
۶۳۷	خدایا	خدایا
۶۳۸	عاشقان	عاشقان
۶۳۹	را	را
۶۴۰	غم	غم
۶۴۱	مده	مده
۶۴۲	.	.
	\n	
۶۴۳	نردبان	نردبان
۶۴۴	ترقی	ترقی
۶۴۵	را	را
۶۴۶	به	به
۶۴۷	سرعت	سرعت
۶۴۸	طی	طی
۶۴۹	کرد	کرد
۶۵۰	.	.
	\n	
۶۵۱	ادبیات	ادبیات
۶۵۲	پارسی	پارسی
۶۵۳	تاریخچه ی	تاریخچه‌ی
۶۵۴	دیرینه ای	دیرینه‌ای
۶۵۵	دارد	دارد
۶۵۶	.	.
	\n	
۶۵۷	شهر	شهر
۶۵۸	ابادان	آبادان
۶۵۹	عروس	عروس
۶۶۰	ایران	ایران
۶۶۱	است	است
۶۶۲	.	.
	\n	
۶۶۳	لیوان	لیوان
۶۶۴	پر	پر
۶۶۵	از	از
۶۶۶	چای	چای
۶۶۷	شکست	شکست
	\n	
۶۶۸	و	و
۶۶۹	او	او
۶۷۰	را	را
۶۷۱	سوزاند	سوزاند
۶۷۲	.	.
	\n	
۶۷۳	واردات	واردات
۶۷۴	و	و
۶۷۵	صادرات	صادرات
۶۷۶	کشمش	کشمش
۶۷۷	سود	سود
۶۷۸	خوبی	خوبی
۶۷۹	دارد	دارد
۶۸۰	.	.
	\n	
۶۸۱	شایان ذکر	شایان‌ذکر
۶۸۲	است	است
	\n	
۶۸۳	که	که
۶۸۴	رفسنجان	رفسنجان
۶۸۵	پسته ی	پسته‌ی
۶۸۶	مرغوبی	مرغوبی
۶۸۷	دارد	دارد
۶۸۸	.	.
	\n	
۶۸۹	باغ	باغ
۶۹۰	بی برگی	بی‌برگی
۶۹۱	که	که
۶۹۲	میگوید	می‌گوید
۶۹۳	که	که
۶۹۴	زیبا	زیبا
۶۹۵	نیست	نیست
۶۹۶	.	.
	\n	
۶۹۷	شیروان	شیروان
۶۹۸	یکی	یکی
۶۹۹	از	از 
۷۰۰	شهرستانهای	شهرستان‌های
۷۰۱	کرمانشاه	کرمانشاه
۷۰۲	است	است
۷۰۳	.	.
	\n	
۷۰۴	آسمان	آسمان
۷۰۵	آبی	آبی
۷۰۶	زمین	زمین
۷۰۷	پاک	پاک
	..........	.
	\n	
۷۰۸	شمیران	شمیران
۷۰۹	نام	نام
۷۱۰	منطقه ای	منطقه‌ای
۷۱۱	در	در
۷۱۲	تهران	تهران
۷۱۳	است	است
۷۱۴	.	.
	\n	
۷۱۵	لیفان	لیفان
۷۱۶	یک	یک
۷۱۷	خودروی	خودروی
۷۱۸	چینیست	چینیست
۷۱۹	که	که
۷۲۰	بدرد	بدرد
۷۲۱	نمی خورد	نمی‌خورد
۷۲۲	.	.
	\n	
۷۲۳	ما	ما
۷۲۴	باید	باید
۷۲۵	همواره	همواره
۷۲۶	به دنبال	به‌دنبال
۷۲۷	آرمان	آرمان
۷۲۸	خود	خود
۷۲۹	باشیم	باشیم
۷۳۰	.	.
	\n	
۷۳۱	خفتان	خفتان
۷۳۲	خود	خود
۷۳۳	را	را
۷۳۴	پوشید	پوشید
۷۳۵	و	و
۷۳۶	به	به
۷۳۷	میدان	میدان
۷۳۸	رزم	رزم
۷۳۹	رفت	رفت
۷۴۰	.	.
	\n	
۷۴۱	ریختن	ریختن
۷۴۲	زباله	زباله
۷۴۳	در	در
۷۴۴	دامان	دامان
۷۴۵	طبیعت	طبیعت
۷۴۶	بی فرهنگی	بی‌فرهنگی
۷۴۷	است	است
۷۴۸	.	.
	\n	
۷۴۹	فرمند	فرمند
۷۵۰	یکی	یکی
۷۵۱	از	از
۷۵۲	مرغوبترین	مرغوبترین
۷۵۳	برندها	برندها
۷۵۴	در	در
۷۵۵	این	این
۷۵۶	حوزه	حوزه
۷۵۷	است	است
۷۵۸	.	.
	\n	
۷۵۹	خزان	خزان
۷۶۰	فصلیست	فصلیست
	\n	
۷۶۱	که	که
۷۶۲	در	در
۷۶۳	آن	آن
۷۶۴	برگ	برگ
۷۶۵	درختان	درختان
۷۶۶	زرد	زرد
۷۶۷	می شود	می‌شود
۷۶۸	.	.
	\n	
۷۶۹	وزیر	وزیر
۷۷۰	علوم	علوم
۷۷۱	در	در
۷۷۲	جمع	جمع
۷۷۳	استادان	استادان
۷۷۴	نمونه	نمونه
۷۷۵	:	:
	\n	
۷۷۶	سن	سن
۷۷۷	بازنشستگي	بازنشتگی
۷۷۸	استادان	استادان
۷۷۹	نمونه	استادان
۷۸۰	به	به
۷۸۱	70	۷۰
۷۸۲	سال	سال
۷۸۳	افزایش	افزایش
۷۸۴	مي‌يابد	می‌یابد
	\n	\n
۷۸۵	اصوات	اصوات
۷۸۶	وزیدن	وزیدن
۷۸۷	باد	باد
۷۸۸	ما	ما
۷۸۹	را	را
۷۹۰	ترساند	ترساند
۷۹۱	.	.
	\n	\n
۷۹۲	دانشگاه	دانشگاه
۷۹۳	باید	باید
۷۹۴	مهد	مهد
۷۹۵	چالشهاي	چالش‌های
۷۹۶	گفتماني	گفتمانی
۷۹۷	و 	و
۷۹۸	خط دهنده	خط‌دهنده
۷۹۹	و	و
۸۰۰	برنامه‌ریز	برنامه‌ریز
۸۰۱	جریانات	جريانات
۸۰۲	سياسي	سیاسی
۸۰۳	باشد	باشد
۸۰۴	.	.
	\n	\n
۸۰۵	دفاتر	دفاتر
۸۰۶	سازمان	سازمان
۸۰۷	ملل	ملل
۸۰۸	متحد	متحد
۸۰۹	در	در
۸۱۰	همه ی	همه‌ی
۸۱۱	پایتختهای	پایتخت‌های
۸۱۲	جهان	جهان
۸۱۳	هستند	هستند
۸۱۴	.	.
	\n	\n
۸۱۵	دختری	دختری
۸۱۶	با	با
۸۱۷	لباس	لباس
۸۱۸	صورتی	صورتی
۸۱۹	را	را
۸۲۰	دیدم	دیدم
۸۲۱	که	که
۸۲۲	صورتی	صورتی
۸۲۳	زیبا	زیبا
۸۲۴	داشت	داشت
۸۲۵	.	.
	\n	\n
۸۲۶	توصیه	توصيه
۸۲۷	ما	ما
۸۲۸	در	در‌جهت
۸۲۹	تلاش	تلاش
۸۳۰	براي	برای
۸۳۱	دانايي	دانایی
۸۳۲	محوري	محوری
۸۳۳	و	و
۸۳۴	توسعه	توسعه
۸۳۵	گفتمان	گفتمان
۸۳۶	علمي	علمی
۸۳۷	به معني	به‌معنی
۸۳۸	عدم	عدم
۸۳۹	تمايل	تمایل
۸۴۰	به	به
۸۴۱	مباحث	مباحث
۸۴۲	سياسي	سیاسی
۸۴۳	نيست	نیست
۸۴۴	؛	؛
	\n	\n
۸۴۵	بلكه	بلكه
۸۴۶	بر عكس	بر‌عکس
۸۴۷	،	،
۸۴۸	دانشگاه	دانشگاه
۸۴۹	بايد	باید
۸۵۰	مهد	مهد
۸۵۱	چالشهاي	چالش‌های
۸۵۲	گفتماني	گفتمانی
۸۵۳	باشد	باشد
۸۵۴	ولي	ولی
۸۵۵	اين	این
۸۵۶	امر	امر
۸۵۷	،	،
۸۵۸	بدان	بدان
۸۵۹	معني	معنی
۸۶۰	نيست	نیست
۸۶۱	كه	که
۸۶۲	دانشگاه	دانشگاه
۸۶۳	،	،
۸۶۴	ابزار	ابزار
۸۶۵	دست	دست
۸۶۶	سياسيون	سیاسیون
۸۶۷	قرار	قرار
۸۶۸	بگيرد	بگیرد
۸۶۹	.	.
	\n	\n
۸۷۰	وي	وی
۸۷۱	تأكيد	تاکید
۸۷۲	كرد	کرد
۸۷۳	:	:
	\n	
۸۷۴	دانشگاه	دانشگاه
۸۷۵	نه‌ تنها	نه‌تنها
۸۷۶	نبايد	نباید
