0	می‌اندیشم	اندیش|می|می|می|می	اندیشید	می + اندیش + م|می + اند + ی + ش + م|می + اند + ی + ش + م|می + اند + ی + ش + م|می + اند + ی + ش + م	V+O|N1+V+O+O+O|N1+V+O+O+V|N1+V+O+O+O|N1+V+O+O+V	فعل حال اخباری+اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد	
20	او	او|او	او	او|او	N5|Ab	ضمیر فاعلی|اختصارات	
21	را	را	را	را	Po	حرف اضافه پسین	
22	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
23	گردانم	گردان|گردان|گردان|گردان|گردان|گرد|گرد|گر|گر	گردان	گردان + م|گردان + م|گردان + م|گردان + م|گردان + م|گرد + ان + م|گرد + ان + م|گر + د + ان + م|گر + د + ان + م	V+O|N1+O|N1+V|A0+O|A0+V|V1+O+O|V1+O+V|V1+O+O+O|V1+O+O+V	فعل مضارع ساده+اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد|بن مضارع + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + ان + فعل اول شخص مفرد|بن مضارع + د + ان + ضمیر ملکی اول شخص مفرد|بن مضارع + د + ان + فعل اول شخص مفرد	
24	،	،	،	،	Si	علامت	
25	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
26	اهمال	اهمال	اهمال	اهمال	N1	اسم	
27	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
28	تقصیر	تقصیر	تقصیر	تقصیر	N1	اسم	
29	را	را	را	را	Po	حرف اضافه پسین	
30	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
31	مذهب	مذهب|مذهب|مذهب	مذهب	مذهب|مذهب|مذهب	N1|A0|N1	اسم|صفت|اسم	
32	حمیت	حمیت	حمیت	حمیت	N1	اسم	
33	رخصت	رخصت	رخصت	رخصت	N1	اسم	
34	نبینم	بین	دید	ن + بین + م	V+O	فعل حال التزامی منفی+اول شخص مفرد	
35	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
36	اگر	اگر	اگر	اگر	C0	حرف ربط	
37	غفلتی	غفلت	غفلت	غفلت + ی	N1+O	اسم + ی	
38	روا	روا|رو	روا	روا|رو + ا	A0|O+O	صفت|ریشه مضارع + ا	
39	دارم	دار|دار|دار	داشت	دار + م|دار + م|دار + م	V+O|N1+O|N1+V	فعل مضارع ساده+اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
40	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
41	نزدیک	نزدیک	نزدیک	نزدیک	A0	صفت	
42	اصحاب	صاحب	اصحاب	صاحب	O	اسم مفرد جمع مکسر	
43	مروت	مروت|مرو	مروت	مروت|مرو + ت	N1|N2+O	اسم|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد	
44	معذور	معذور	معذور	معذور	A0	صفت	
45	نباشم	باش	بود	ن + باش + م	V+O	فعل حال التزامی منفی+اول شخص مفرد	
46	.	.	.	.	Si	علامت	

0	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
1	نیز	نیز|آز	نیز	نیز|نی + آز	Ad|V	قید|فعل امر منفی	
2	منزلتی	منزلتی|منزلت	منزلت	منزلتی|منزلت + ی	N1|N1+O	اسم|اسم + ی	
3	تو	تو|تو|تو	تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم	
4	نمی‌جویم	جو	جست	نمی + جو + یم	V+O	فعل حال اخباری منفی+اول شخص جمع	
5	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
6	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
7	طلب	طلب|طلب	طلب	طلب|طلب	V|N1	فعل امر مثبت|اسم	
8	زیادتی	زیادتی|زیادت	زیادتی	زیادتی|زیادت + ی	A0|N1+O	صفت|اسم + ی	
9	قدم	قدم|قدم|قد|قد|قد|قد	قدم	قدم|قدم|قد + م|قد + م|قد + م|قد + م	N1|N1|N1+O|N1+V|A0+O|A0+V	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد	
10	نمی‌گزارم	گزار	گزارد	نمی + گزار + م	V+O	فعل حال اخباری منفی+اول شخص مفرد	
11	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
12	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
13	حرص	حرص	حرص	حرص	N1	اسم	
14	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
15	گرم‌شکمی	گرم شکمی	گرم‌شکمی	گرم شکمی	O	_
16	منسوب	منسوب	منسوب	منسوب	N1	اسم	
17	شوم	شوم|شو|شو|شو	شوم	شوم|شو + م|شو + م|شو + م	A0|V+O|N1+O|N1+V	صفت|فعل مضارع ساده+اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
18	.	.	.	.	Si	علامت	

0	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
1	شاید	شاید|شاید|شا	شاید	شاید|شاید|شا + ی + د	V+O|Ad|V+O	فعل ماضی ساده+سوم شخص مفرد|قید|فعل مضارع ساده+سوم شخص مفرد	
2	بود	بود|بود|بود|بو|ود	بود	بود|بود|بود|بو + د|ب + ود	V+O|N1|V+O|V+O|O+N1	فعل ماضی ساده+سوم شخص مفرد|اسم|فعل ماضی ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد|ب + اسم	
3	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
4	چون	چون|چون	چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه	
5	صورت	صورت|صورت|صور	صورت	صورت|صورت|صور + ت	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی دوم شخص مفرد	
6	حال	حال	حال	حال	N1	اسم	
7	بشناخت	شناخت|شناخت	بشناخت	ب + شناخت|ب + شناخت	V+O|O+N1	فعل ماضی التزامی+سوم شخص مفرد|ب + اسم	
8	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
9	فضیحت	فضیحت	فضیحت	فضیحت	N1	اسم	
10	خود	خود|خود	خود	خود|خود	O|N1	ضمیر مشترک/متقابل|اسم	
11	بدید	دید|دید|بد	بدید	ب + دید|ب + دید|بد + ید	V+O|O+N1|A0+V	فعل ماضی التزامی+سوم شخص مفرد|ب + اسم|صفت + فعل دوم شخص جمع	
12	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
13	مکابره	مکابره	مکابره	مکابره	O	_
14	درآید	درا|در	درآید	درا + ید|در + ا + ید	V+O|O+O+V	فعل مضارع ساده+دوم شخص جمع|ریشه مضارع + ا + فعل سوم شخص مفرد	
15	،	،	،	،	Si	علامت	
16	ساخته	ساخته|ساخت|ساخت	ساخته	ساخته|ساخت + ه|ساخت + ه	A0|O+O|N1+O	صفت|ریشه ماضی + ه|اسم + ه	
17	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
18	بسیجیده	بسیجید	بسیجیده	بسیجید + ه	O+O	ریشه ماضی + ه	
19	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	V|N1|N1	فعل امر مثبت|اسم|اسم	
20	آغازد	آغازد	آغازد	آغازد	O	_
21	،	،	،	،	Si	علامت	
22	یا	یا|یا	یا	یا|یا	C0|Intj	حرف ربط|صوت	
23	مستعد	مستعد	مستعد	مستعد	A0	صفت	
24	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
25	متشمر	متشمر	متشمر	متشمر	O	_
26	روی	روی|روی|رو|رو	روی	روی|روی|رو + ی|رو + ی	Pr1|N1|N1+O|V+O	حرف اضافه گروهی|اسم|اسم + ی|فعل مضارع ساده+دوم شخص مفرد	
27	بگرداند	گرداند|گردان	بگرداند	ب + گرداند|ب + گردان + د	V+O|V+O	فعل ماضی التزامی+سوم شخص مفرد|فعل حال التزامی+سوم شخص مفرد	
28	.	.	.	.	Si	علامت	

0	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
1	اصحاب	صاحب	اصحاب	صاحب	O	اسم مفرد جمع مکسر	
2	حزم	حزم	حزم	حزم	N1	اسم	
3	گناه	گناه	گناه	گناه	N1	اسم	
4	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم	
5	را	را	را	را	Po	حرف اضافه پسین	
6	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم	
7	مستور	مستور|مس	مستور	مستور|مس + ت + ور	A0|N1+O+O	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور	
8	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
9	جرم	جرم|جرم|جر|جر|جر|جر	جرم	جرم|جرم|جر + م|جر + م|جر + م|جر + م	N1|N1|N1+O|N1+V|N1+O|N1+V	اسم|اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
10	مستور	مستور|مس	مستور	مستور|مس + ت + ور	A0|N1+O+O	صفت|اسم + ضمیر ملکی دوم شخص مفرد + ور	
11	را	را	را	را	Po	حرف اضافه پسین	
12	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم	
13	ظاهر	ظاهر	ظاهر	ظاهر	N1	اسم	
14	جایز	جایز	جایز	جایز	A0	صفت	
15	نشمرند	شمر	نشمرند	ن + شمر + ند	V+O	فعل حال التزامی منفی+سوم شخص جمع	
16	.	.	.	.	Si	علامت	

0	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
1	بباید	باید	بباید	ب + باید	O+V4	ب + فعل وجه نما	
2	شناخت	شناخت|شناخت	شناخت	شناخت|شناخت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
3	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
4	عقوبت	عقوبت	عقوبت	عقوبت	N1	اسم	
5	غادران	غادران	غادران	غادران	O	_
6	زود	زود	زود	زود	A0	صفت	
7	نازل	نازل	نازل	نازل	N1	اسم	
8	گردد	گرد	گشت	گرد + د	V+O	فعل مضارع ساده+سوم شخص مفرد	
9	،	،	،	،	Si	علامت	
10	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
11	سوگند	سوگند|سوگ	سوگند	سوگند|سوگ + ند	N1|N1+V	اسم|اسم + فعل سوم شخص جمع	
12	دروغ	دروغ	دروغ	دروغ	N1	اسم	
13	قواعد	قواعد	قواعد	قواعد	N1	اسم	
14	عمر	عمر|عمر	عمر	عمر|عمر	N1|N3	اسم|اسم خاص اشخاص	
15	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
16	اساس	اساس	اساس	اساس	O	_
17	زندگانی	زندگانی|زنده	زندگانی	زندگانی|زنده + گان + ی	N1|A0+Pl+O	اسم|صفت + علامت جمع + ی	
18	زود	زود	زود	زود	A0	صفت	
19	با	با	با	با	Pr	حرف اضافه	
20	خلل	خلل	خلل	خلل	N1	اسم	
21	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
22	،	،	،	،	Si	علامت	
23	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
24	زبان	زبان	زبان	زبان	N1	اسم	
25	نبوت	نبوت|بو	نبوت	نبوت|ن + بو + ت	N1|V+O	اسم|فعل امر منفی+دوم شخص مفرد	
26	بدین	بدین|دین|دین|بد	بدین	بدین|ب + دین|ب + دین|بد + ین	Pr|O+N1|O+N1|A0+O	حرف اضافه|ب + اسم|ب + اسم|صفت + ین	
27	دقیقه	دقیقه|دقیق	دقیقه	دقیقه|دقیق + ه	N1|A0+O	اسم|صفت + ه	
28	اشارت	اشارت	اشارت	اشارت	N1	اسم	
29	کند	کند|کن|کن	کند	کند|کن + د|کن + د	A0|V+O|V+O	صفت|فعل مضارع ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
30	.	.	.	.	Si	علامت	

0	آن	ان	آن	ان	Ab	اختصارات	
1	کس	کس	کس	کس	N1	اسم	
2	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
3	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
4	تواضع	تواضع	تواضع	تواضع	N1	اسم	
5	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
6	تضرع	تضرع	تضرع	تضرع	N1	اسم	
7	مقدمات	مقدمات|مقدم|مقدم	مقدمات	مقدمات|مقدم + ات|مقدم + ات	N1|A0+Pl|N1+Pl	اسم|صفت + علامت جمع|اسم + علامت جمع	
8	آزار	ازار	آزار	ازار	N1	اسم	
9	فرو	فرو|فرو|فرو	فرو	فرو|فرو|فرو	V|VPr|A0	فعل امر مثبت|پیشوند فعل|صفت	
10	نتواند	توان	توانست	ن + توان + د	V+O	فعل حال التزامی منفی+سوم شخص مفرد	
11	گذاشت	گذاشت	گذاشت	گذاشت	V+O	فعل ماضی ساده+سوم شخص مفرد	
12	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
13	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
14	عفو	عفو	عفو	عفو	N1	اسم	
15	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
16	تجاوز	تجاوز	تجاوز	تجاوز	N1	اسم	
17	پیش‌دستی	پیش‌دستی|دست	پیش‌دستی	پیش‌دستی|پیش + دست + ی	N1|O+N1+O	اسم|پیش + اسم + ی	
18	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
19	مبادرت	مبادرت	مبادرت	مبادرت	N1	اسم	
20	نتواند	توان	توانست	ن + توان + د	V+O	فعل حال التزامی منفی+سوم شخص مفرد	
21	نمود	نمود|نمود|مو	نمود	نمود|نمود|ن + مو + د	V+O|N1|V+O	فعل ماضی ساده+سوم شخص مفرد|اسم|فعل حال التزامی منفی+سوم شخص مفرد	
22	از	از	از	از	Pr	حرف اضافه	
23	پیرایه	پیرایه	پیرایه	پیرایه	N1	اسم	
24	نیکونامی	نیکونامی|نیکونام	نیکونامی	نیکونامی|نیکونام + ی	N1|A0+O	اسم|صفت + ی	
25	عاطل	عاطل	عاطل	عاطل	A0	صفت	
26	گردد	گرد	گشت	گرد + د	V+O	فعل مضارع ساده+سوم شخص مفرد	
27	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
28	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
29	پیش	پیش|پیش|پی	پیش	پیش|پیش|پی + ش	A0|N9|N1+O	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ضمیر ملکی سوم شخص مفرد	
30	مردان	مرد	مرد	مرد + ان	N1+O	اسم + ان	
31	سرافگنده	سرافگنده	سرافگنده	سرافگنده	O	_
32	ماند	ماند|مان	ماند	ماند|مان + د	V+O|V+O	فعل ماضی ساده+سوم شخص مفرد|فعل مضارع ساده+سوم شخص مفرد	
33	.	.	.	.	Si	علامت	

0	اینست	این	اینست	این	O	_
1	مثل	مثل|مثل|مثل	مثل	مثل|مثل|مثل	N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم	
2	خردمند	خردمند|خرد|خر	خردمند	خردمند|خرد + مند|خر + د + مند	A0|N1+O|V1+O+O	صفت|اسم + مند|بن مضارع + د + مند	
3	روشن	روشن	روشن	روشن	A0	صفت	
4	رأی	رأی	رأی	رأی	N1	اسم	
5	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
6	فرصت	فرصت	فرصت	فرصت	N1	اسم	
7	مصالحت	مصالح	مصالح	مصالح + ت	N1+O	اسم + ضمیر ملکی دوم شخص مفرد	
8	دشمن	دشمن	دشمن	دشمن	A0	صفت	
9	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
10	وقت	وقت|وقت	وقت	وقت|وقت	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
11	حاجت	حاجت|حاج	حاجت	حاجت|حاج + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
12	فایت	فا	فایت	فا + ی + ت	N1+O	اسم + ضمیر ملکی دوم شخص مفرد	
13	نگرداند	گرداند|گردان	نگرداند	ن + گرداند|ن + گردان + د	V+O|V+O	فعل ماضی ساده منفی+سوم شخص مفرد|فعل حال التزامی منفی+سوم شخص مفرد	
14	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
15	پس‌از	پس‌از	پس‌از	پس‌از	Pr1	حرف اضافه گروهی	
16	حصول	حصول	حصول	حصول	N1	اسم	
17	غرض	غرض	غرض	غرض	N1	اسم	
18	از	از	از	از	Pr	حرف اضافه	
19	مراعات	مراعات	مراعات	مراعات	N1	اسم	
20	جانب	جانب|جانب	جانب	جانب|جانب	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
21	حزم	حزم	حزم	حزم	N1	اسم	
22	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
23	احتیاط	احتیاط	احتیاط	احتیاط	N1	اسم	
24	غافل	غافل	غافل	غافل	A0	صفت	
25	نباشد	باش	بود	ن + باش + د	V+O	فعل حال التزامی منفی+سوم شخص مفرد	
26	.	.	.	.	Si	علامت	

0	سبحان‌الله	سبحان الله	سبحان‌الله	سبحان الله	O	_
1	!	!	!	!	Si	علامت	

0	موشی	موشی|موش	موش	موشی|موش + ی	A0|N1+O	صفت|اسم + ی	
1	با	با	با	با	Pr	حرف اضافه	
2	ضعف	ضعف	ضعف	ضعف	N1	اسم	
3	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
4	عجز	عجز	عجز	عجز	N1	اسم	
5	خویش	خویش|خو	خویش	خویش|خو + ی + ش	O|N1+O+O	ضمیر مشترک/متقابل|اسم + ی + ضمیر ملکی سوم شخص مفرد	
6	چون	چون|چون	چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه	
7	آفات	افت	آفات	افت + ات	N1+Pl	اسم + علامت جمع	
8	بدو	بدو|بدو|دو|دو	دوید	بدو|بدو|ب + دو|ب + دو	N1|A0|V|O+N1	اسم|صفت|فعل امر مثبت|ب + اسم	
9	محیط	محیط	محیط	محیط	A0	صفت	
10	گشت	گشت|گشت|گشت	گشت	گشت|گشت|گشت	V+O|V+O|N1	فعل ماضی ساده+سوم شخص مفرد|فعل ماضی ساده+سوم شخص مفرد|اسم	
11	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
12	دشمنان	دشمن	دشمن	دشمن + ان	A0+O	صفت + ان	
13	غالب	غالب	غالب	غالب	A0	صفت	
14	گرد	گرد|گرد|گرد|گرد|گر	گرد	گرد|گرد|گرد|گرد|گر + د	V|A0|N1|A0|V+O	فعل امر مثبت|صفت|اسم|صفت|فعل مضارع ساده+سوم شخص مفرد	
15	او	او|او	او	او|او	N5|Ab	ضمیر فاعلی|اختصارات	
16	درآمدند	درآمد	درآمدند	درآمد	O	_
17	دل	دل	دل	دل	N1	اسم	
18	از	از	از	از	Pr	حرف اضافه	
19	جای	جای|جا	جای	جای|جا + ی	N1|N1+O	اسم|اسم + ی	
20	نبرد	نبرد|برد|بر	نبرد	نبرد|ن + برد|ن + بر + د	N1|V+O|V+O	اسم|فعل ماضی ساده منفی+سوم شخص مفرد|فعل حال التزامی منفی+سوم شخص مفرد	
21	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
22	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
23	دقایق	دقایق	دقایق	دقایق	N1	اسم	
24	مخادعت	مخادعت	مخادعت	مخادعت	O	_
25	یکی	یکی|یک	یک	یکی|یک + ی	A2|O+O	صفت مبهم|عدد حرفی + ی	
26	را	را	را	را	Po	حرف اضافه پسین	
27	از	از	از	از	Pr	حرف اضافه	
28	ایشان	ایشان	ایشان	ایشان	N5	ضمیر فاعلی	
29	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
30	دام	دام	دام	دام	N1	اسم	
31	موافقت	موافقت|موافق	موافقت	موافقت|موافق + ت	N1|A0+O	اسم|صفت + ضمیر ملکی دوم شخص مفرد	
32	کشید	کشید|کش|کش	کشید	کشید|کش + ید|کش + ید	V+O|V+O|N1+V	فعل ماضی ساده+سوم شخص مفرد|فعل مضارع ساده+دوم شخص جمع|اسم + فعل دوم شخص جمع	
33	،	،	،	،	Si	علامت	
34	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
35	بدان	بدان|دان|بد	بدان	بدان|ب + دان|بد + ان	O|V|A0+O	صورت واجی ریشه: badAn|فعل امر مثبت|صفت + ان	
36	وثیقت	وثیق	وثیق	وثیق + ت	A0+O	صفت + ضمیر ملکی دوم شخص مفرد	
37	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
38	وسیلت	وسیلت	وسیلت	وسیلت	N1	اسم	
39	محنت	محنت|محن	محنت	محنت|محن + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
40	از	از	از	از	Pr	حرف اضافه	
41	وی	وی|وی	وی	وی|وی	N5|Ab	ضمیر فاعلی|اختصارات	
42	دور	دور|دور	دور	دور|دور	A0|N1	صفت|اسم	
43	گشت	گشت|گشت|گشت	گشت	گشت|گشت|گشت	V+O|V+O|N1	فعل ماضی ساده+سوم شخص مفرد|فعل ماضی ساده+سوم شخص مفرد|اسم	
44	،	،	،	،	Si	علامت	
45	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
46	از	از	از	از	Pr	حرف اضافه	
47	عهده	عهده|عهده|عهد	عهده	عهده|عهده|عهد + ه	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه	
48	عهد	عهد	عهد	عهد	N1	اسم	
49	دشمن	دشمن	دشمن	دشمن	A0	صفت	
50	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
