0	وی	وی|وی	وی	وی|وی	N5|Ab	ضمیر فاعلی|اختصارات	
20	،	،	،	،	Si	علامت	
21	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول + ی|ول + ی	C0|N1|A0+O|N1+O	حرف ربط|اسم|صفت + ی|اسم + ی	
22	از	از	از	از	Pr	حرف اضافه	
23	آن	ان	آن	ان	Ab	اختصارات	
24	زمان	زمان|زم	زمان	زمان|زم + ان	N1+O|N1+O	اسم+واجی ریشه: zamAn|اسم + ان	
25	تاکنون	تاکنون	تاکنون	تاکنون	Ad	قید	
26	بقیه	بقیه|بقیه|قیه|بق|قی	بقیه	بقیه|بقیه|ب + قیه|بق + یه|ب + قی + ه	A0|N1|O+N1|N1+O|O+N1+O	صفت|اسم|ب + اسم|اسم + یه|ب + اسم + ه	
27	پرونده‌ها	پرونده|پرو	پرونده	پرونده + ها|پرو + نده + ها	N1+Pl|N1+O+Pl	اسم + علامت جمع|اسم + نده + علامت جمع	
28	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
29	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
30	نظام	نظام	نظام	نظام	N1	اسم	
31	روانشناسی	روان	روانشناسی	روان + شناس + ی	A0+O+O	صفت + شناس + ی	
32	مسکوت	مسکوت|مسکو	مسکوت	مسکوت|مسکو + ت	A0|N2+O	صفت|اسم خاص مکان + ضمیر ملکی دوم شخص مفرد	
33	مانده بود	ماند|مان	مانده بود	ماند + ه + بود|مان + د + ه + بود	V+O|V1+O+O+O	فعل ماضی بعید+سوم شخص مفرد|بن مضارع + د + ه + بود	
34	.	.	.	.	Si	علامت	

0	عضو	عضو	عضو	عضو	N1	اسم	
1	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
2	نظام	نظام	نظام	نظام	N1	اسم	
3	روانشناسی	روان	روانشناسی	روان + شناس + ی	A0+O+O	صفت + شناس + ی	
4	خاطرنشان‌	خاطرنشان	خاطرنشان	خاطرنشان	A0	صفت	
5	کرد	کرد|کرد	کرد	کرد|کرد	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
6	:	:	:	:	Si	علامت	

0	از	از	از	از	Pr	حرف اضافه	
1	مهرماه	مهرماه	مهرماه	مهرماه	N1	اسم	
2	سال	سال	سال	سال	N1	اسم	
3	گذشته	گذشته|گذشت|گذشت	گذشته	گذشته|گذشت + ه|گذشت + ه	A0|O+O|N1+O	صفت|ریشه ماضی + ه|اسم + ه	
4	ردصلاحیت	ردصلاحیت	ردصلاحیت	ردصلاحیت	A0	صفت	
5	رئیس	رییس	رئیس	رییس	N1	اسم	
6	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
7	روانشناسی	روان	روانشناسی	روان + شناس + ی	A0+O+O	صفت + شناس + ی	
8	توسط	توسط|توسط	توسط	توسط|توسط	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
9	دفتر	دفتر	دفتر	دفتر	N1	اسم	
10	رئیس‌جمهور	رییس‌جمهور	رئیس‌جمهور	رییس‌جمهور	N1	اسم	
11	انجام	انجام|انجام	انجام	انجام|انجام	N1|V	اسم|فعل امر مثبت	
12	گرفت	گرفت|گرفت	گرفت	گرفت|گرفت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
13	،	،	،	،	Si	علامت	
14	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول + ی|ول + ی	C0|N1|A0+O|N1+O	حرف ربط|اسم|صفت + ی|اسم + ی	
15	علی‌رغم	علی‌رغم	علی‌رغم	علی‌رغم	Pr1	حرف اضافه گروهی	
16	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
17	ردصلاحیت	ردصلاحیت	ردصلاحیت	ردصلاحیت	A0	صفت	
18	همچنان	همچنان|چنان	همچنان	همچنان|هم + چنان	Ad|O+A0	قید|هم + صفت	
19	عباسعلی	عباسعلی	عباسعلی	عباسعلی	N3	اسم خاص اشخاص	
20	اللهیاری	الله	اللهیاری	الله + یار + ی	N1+O+O	اسم + یار + ی	
21	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
22	کافه	کافه|کاف	کافه	کافه|کاف + ه	N1|N1+O	اسم|اسم + ه	
23	یا	یا|یا	یا	یا|یا	C0|Intj	حرف ربط|صوت	
24	تریا	تریا	تریا	تریا	N1	اسم	
25	کارتابل	کارتابل	کارتابل	کارتابل	O	_
26	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
27	را	را	را	را	Po	حرف اضافه پسین	
28	امضا	امضا	امضا	امضا	N1	اسم	
29	می‌کرد	کرد	کرد	می + کرد	V+O	فعل ماضی استمراری+سوم شخص مفرد	
30	.	.	.	.	Si	علامت	

0	پنج‌شنبه‌ها	پنجشنبه	پنج‌شنبه	پنجشنبه + ها	N1+Pl	اسم + علامت جمع	
2	به‌زودی	به‌زودی|زودی|زود	به‌زودی	به‌زودی|به + زودی|به + زود + ی	Ad|O+N1|O+A0+O	قید|به + اسم|به + صفت + ی	
3	می‌گذرند	می گذرند	گذشت	می گذرند	O	_
4	.	.	.	.	Si	علامت	

0	دویست	دویست	دویست	دویست	O	عدد حرفی	
1	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
2	هشتاد	هشتاد	هشتاد	هشتاد	O	عدد حرفی	
3	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
4	نهمین	نه|نه	نهمین	نه + مین|نه + مین	O+O|V1+O	عدد حرفی + مین|بن مضارع + مین	
5	سمینار	سمینار	سمینار	سمینار	N1	اسم	
6	ادواری	ادواری|ادوار	ادوار	ادواری|ادوار + ی	A0|N1+O	صفت|اسم + ی	
7	عصب‌پژوهی	عصب پژوهی	عصب‌پژوهی	عصب پژوهی	O	_
8	اجتماعی	اجتماعی|اجتماع	اجتماع	اجتماعی|اجتماع + ی	A0|N1+O	صفت|اسم + ی	
9	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
10	مغز‌پژوهی	مغز پژوهی	مغز‌پژوهی	مغز پژوهی	O	_
11	رشک	رشک|رش	رشک	رشک|رش + ک	N1|N1+O	اسم|اسم + ک	
12	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
13	حسد	حسد	حسد	حسد	N1	اسم	
14	اختصاص	اختصاص	اختصاص	اختصاص	N1	اسم	
15	دارد	دار|دار	داشت	دار + د|دار + د	V+O|V5+O	فعل مضارع ساده+سوم شخص مفرد|فعل کمکی + د	
16	.	.	.	.	Si	علامت	

0	سخنران	سخنران	سخنران	سخنران	N1	اسم	
1	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
2	نشست	نشست|نشست|شست	نشست	نشست|نشست|ن + شست	V+O|N1|V+O	فعل ماضی ساده+سوم شخص مفرد|اسم|فعل ماضی ساده منفی+سوم شخص مفرد	
3	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
4	26	26	۲۶	26	Nu	عدد رقمی	
5	مهر	مهر|مهر|مهر	مهر	مهر|مهر|مهر	N1|N1|N1	اسم|اسم|اسم	
6	برگزار	برگزار|برگ	برگزار	برگزار|برگ + زار	A0|N1+O	صفت|اسم + زار	
7	‌می‌شود	شو	‌می‌شود	می + شو + د	V+O	فعل حال اخباری+سوم شخص مفرد	
8	دکتر	دکتر|دکتر	دکتر	دکتر|دکتر	A0|Sp	صفت|شاخص	
9	آذرخش	آذرخش	آذرخش	آذرخش	N1	اسم	
10	مکری	مکر	مکر	مکر + ی	N1+O	اسم + ی	
11	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
12	.	.	.	.	Si	علامت	

0	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
1	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
2	سمینار	سمینار	سمینار	سمینار	N1	اسم	
3	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
4	از	از	از	از	Pr	حرف اضافه	
5	ساعت	ساعت	ساعت	ساعت	N1	اسم	
6	هشت	هشت|هش	هشت	هشت|هش + ت	O|N1+O	عدد حرفی|اسم + ضمیر ملکی دوم شخص مفرد	
7	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
8	نیم	نیم|نی|نی	نیم	نیم|نی + م|نی + م	N1|N1+O|N1+V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
9	صبح	صبح	صبح	صبح	N1	اسم	
10	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
11	یازده	یازده	یازده	یازده	O	عدد حرفی	
12	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
13	سالن	سالن	سالن	سالن	N1	اسم	
14	کنفرانس	کنفرانس	کنفرانس	کنفرانس	N1	اسم	
15	بیمارستان	بیمارستان|بیمار|مار	بیمارستان	بیمارستان|بیمار + ستان|بی + مار + ستان	N1|A0+O|O+N1+O	اسم|صفت + ستان|بی + اسم + ستان	
16	ایرانمهر	ایران‌مهر	ایرانمهر	ایران‌مهر	N1	اسم	
17	برقرار	برقرار	برقرار	برقرار	A0	صفت	
18	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
19	صاحب‌نظران	صاحب‌نظر	صاحب‌نظران	صاحب‌نظر + ان	A0+O	صفت + ان	
20	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
21	علاقه‌مندان	علاقه‌مند|علاقه	علاقه‌مند	علاقه‌مند + ان|علاقه + مند + ان	A0+O|N1+O+O	صفت + ان|اسم + مند + ان	
22	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
23	موضوع	موضوع	موضوع	موضوع	N1	اسم	
24	مغز‌پژوهی	مغز پژوهی	مغز‌پژوهی	مغز پژوهی	O	_
25	رشک	رشک|رش	رشک	رشک|رش + ک	N1|N1+O	اسم|اسم + ک	
26	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
27	حسد	حسد	حسد	حسد	N1	اسم	
28	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
29	بحث	بحث	بحث	بحث	N1	اسم	
30	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
31	تبادل	تبادل	تبادل	تبادل	N1	اسم	
32	نظر	نظر|نظر	نظر	نظر|نظر	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
33	می‌پردازند	پرداز	پرداخت	می + پرداز + ند	V+O	فعل حال اخباری+سوم شخص جمع	
34	.	.	.	.	Si	علامت	

0	ورود	ورود|ود	ورود	ورود|ور + ود	N1|O+N1	اسم|ور + اسم	
1	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
2	عموم	عموم|عمو|عمو	عموم	عموم|عمو + م|عمو + م	N1|N1+O|N1+V	اسم|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
3	آزاد	آزاد	آزاد	آزاد	A0	صفت	
4	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
5	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
6	درباره	درباره|درباره|دربار	درباره	درباره|درباره|دربار + ه	N1|Pr1|N1+O	اسم|حرف اضافه گروهی|اسم + ه	
7	موضوع	موضوع	موضوع	موضوع	N1	اسم	
8	با	با	با	با	Pr	حرف اضافه	
9	صاحب‌نظران	صاحب‌نظر	صاحب‌نظران	صاحب‌نظر + ان	A0+O	صفت + ان	
11	بحث	بحث	بحث	بحث	N1	اسم	
12	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
13	گفت‌وگو	گفت‌وگو	گفت‌وگو	گفت‌وگو	N1	اسم	
14	انجام	انجام|انجام	انجام	انجام|انجام	N1|V	اسم|فعل امر مثبت	
15	می‌شود	شو	شد	می + شو + د	V+O	فعل حال اخباری+سوم شخص مفرد	
16	.	.	.	.	Si	علامت	

0	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
1	کالبدشکافی	کالبدشکافی	کالبدشکافی	کالبدشکافی	N1	اسم	
2	سایت	سایت	سایت	سایت	N1	اسم	
3	iFixit	iFixit	iFixit	iFixit	O	کلمه انگلیسی	
4	،	،	،	،	Si	علامت	
5	آن‌ها	آن ها	آن	آن ها	O	_
6	موفق	موفق	موفق	موفق	A0	صفت	
7	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
8	کشف	کشف|کشف	کشف	کشف|کشف	N1|N1	اسم|اسم	
9	یک	یک	یک	یک	O	عدد حرفی	
10	نوار	نوار	نوار	نوار	N1	اسم	
11	آنتن	آنتن	آنتن	آنتن	N1	اسم	
12	جدید	جدید|جد	جدید	جدید|جد + ید	A0|N1+V	صفت|اسم + فعل دوم شخص جمع	
13	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
14	بخش	بخش|بخش|خش	بخش	بخش|بخش|ب + خش	N1|V|O+N1	اسم|فعل امر مثبت|ب + اسم	
15	پایینی	پایینی|پایین|پا	پایین	پایینی|پایین + ی|پا + ین + ی	A0|A0+O|N1+O+O	صفت|صفت + ی|اسم + ین + ی	
16	گوشی	گوشی|گوش	گوش	گوشی|گوش + ی	N1|N1+O	اسم|اسم + ی	
17	شدند	شد	شد	شد + ند	V+O	فعل ماضی ساده+سوم شخص جمع	
18	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
19	قاعدتاً	قاعدتاً	قاعدتا	قاعدتاً	Ad	قید	
20	باید	باید	باید	باید	V4	فعل وجه نما	
21	منجر	منجر	منجر	منجر	A0	صفت	
22	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
23	بهبود	بهبود	بهبود	بهبود	N1	اسم	
24	آنتن‌دهی	آنتن دهی	آنتن‌دهی	آنتن دهی	O	_
25	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
26	گوشی‌ها	گوشی|گوش	گوشی‌ها	گوشی + ها|گوش + ی + ها	N1+Pl|N1+O+Pl	اسم + علامت جمع|اسم + ی + علامت جمع	
27	شود	شود|شو	شد	شود|شو + د	N1|V+O	اسم|فعل مضارع ساده+سوم شخص مفرد	
28	.	.	.	.	Si	علامت	

0	کاربران	کاربر|کار	کاربر	کاربر + ان|کار + بر + ان	A0+O|N1+O+O	صفت + ان|اسم + بر + ان	
1	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
2	توضیح	توضیح	توضیح	توضیح	N1	اسم	
3	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
4	مشکل	مشکل	مشکل	مشکل	N1	اسم	
5	تئوری‌های	تئوری	تئوری‌های	تئوری	O	_
6	مختلفی	مختلف	مختلف	مختلف + ی	A0+O	صفت + ی	
7	را	را	را	را	Po	حرف اضافه پسین	
8	مطرح	مطرح	مطرح	مطرح	N1	اسم	
9	کرده‌اند	کرده|کرد|کرد	کرد	کرده + اند|کرد + ه + اند|کرد + ه + اند	N1+V|V+O|N1+O+V	اسم + فعل سوم شخص جمع|فعل ماضی نقلی+سوم شخص جمع|اسم + ه + فعل سوم شخص جمع	
10	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
11	برخی	برخی|رخ|رخ	برخی	برخی|ب + رخ + ی|ب + رخ + ی	A2|O+N1+O|O+N1+O	صفت مبهم|ب + اسم + ی|ب + اسم + ی	
12	از	از	از	از	Pr	حرف اضافه	
13	آن‌ها	آن ها	آن	آن ها	O	_
14	شبکه‌های	شبکه|شب	شبکه	شبکه + ها + ی|شب + ک + ه + ها + ی	N1+Pl+O|N1+O+O+Pl+O	اسم + علامت جمع + ی|اسم + ک + ه + علامت جمع + ی	
15	تلفن	تلفن	تلفن	تلفن	N1	اسم	
16	همراه	همراه|راه	همراه	همراه|هم + راه	A0|O+N1	صفت|هم + اسم	
17	را	را	را	را	Po	حرف اضافه پسین	
18	مقصر	مقصر	مقصر	مقصر	A0	صفت	
19	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
20	موضوع	موضوع	موضوع	موضوع	N1	اسم	
21	می‌دانند	دان	دانست	می + دان + ند	V+O	فعل حال اخباری+سوم شخص جمع	
22	ولی	ولی|ولی|ول|ول	ولی	ولی|ولی|ول + ی|ول + ی	C0|N1|A0+O|N1+O	حرف ربط|اسم|صفت + ی|اسم + ی	
23	برخی	برخی|رخ|رخ	برخی	برخی|ب + رخ + ی|ب + رخ + ی	A2|O+N1+O|O+N1+O	صفت مبهم|ب + اسم + ی|ب + اسم + ی	
24	دیگر	دیگر|دیگر|دی	دیگر	دیگر|دیگر|دی + گر	Ad|A2|N1+O	قید|صفت مبهم|اسم + گر	
25	اعلام	اعلام|اعلام	اعلام	اعلام|اعلام	N1|N1	اسم|اسم	
26	کرده‌اند	کرده|کرد|کرد	کرد	کرده + اند|کرد + ه + اند|کرد + ه + اند	N1+V|V+O|N1+O+V	اسم + فعل سوم شخص جمع|فعل ماضی نقلی+سوم شخص جمع|اسم + ه + فعل سوم شخص جمع	
27	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
28	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
29	مسأله	مسئله	مسأله	مسئله	N1	اسم	
30	یادآور	یادآور	یادآور	یادآور	A0	صفت	
31	مشکل	مشکل	مشکل	مشکل	N1	اسم	
32	مربوط	مربوط	مربوط	مربوط	A0	صفت	
33	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
34	آنتن‌های	آنتن	آنتن	آنتن	O	_
35	آیفون۴	آیفون۴	آیفون۴	آیفون۴	O	_
36	است	است|اس		است|اس + ت	V+O|N1+O	فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد	
37	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
38	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
39	آن	ان	آن	ان	Ab	اختصارات	
40	زمان	زمان|زم	زمان	زمان|زم + ان	N1+O|N1+O	اسم+واجی ریشه: zamAn|اسم + ان	
41	سر	سر|سر|سر|سر	سر	سر|سر|سر|سر	V|N1|N1|N9	فعل امر مثبت|اسم|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
42	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
43	صدای	صدا	صدا	صدا + ی	N1+O	اسم + ی	
44	بسیار	بسیار|بسیار|سیار|بس	بسیار	بسیار|بسیار|ب + سیار|بس + یار	A0|Ad|O+A0|A0+O	صفت|قید|ب + صفت|صفت + یار	
45	زیادی	زیادی|زیاد	زیاد	زیادی|زیاد + ی	A0|A0+O	صفت|صفت + ی	
46	به‌راه‌انداخت	به راه انداخت	به‌راه‌انداخت	به راه انداخت	V+O	فعل ماضی ساده+سوم شخص مفرد	
47	.	.	.	.	Si	علامت	

0	چند	چند	چند	چند	NA	ضمیر پرسشی	
1	روز	روز	روز	روز	N1	اسم	
2	بعد	بعد|بعد|بعد	بعد	بعد|بعد|بعد	A0|N1|N9	صفت|اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
3	از	از	از	از	Pr	حرف اضافه	
4	تصویب	تصویب	تصویب	تصویب	N1	اسم	
5	چهارمین	چهار	چهارمین	چهار + مین	O+O	عدد حرفی + مین	
6	لایحه	لایحه	لایحه	لایحه	N1	اسم	
7	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
8	چارچوب	چارچوب	چارچوب	چارچوب	N1	اسم	
9	لوایح	لوایح	لوایح	لوایح	N1	اسم	
10	مرتبط	مرتبط	مرتبط	مرتبط	A0	صفت	
11	با	با	با	با	Pr	حرف اضافه	
12	پول‌شویی	پول‌شویی	پول‌شویی	پول‌شویی	N1	اسم	
13	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
14	مبارزه	مبارزه|مبارز	مبارزه	مبارزه|مبارز + ه	N1|A0+O	اسم|صفت + ه	
15	با	با	با	با	Pr	حرف اضافه	
16	تروریسم	تروریسم	تروریسم	تروریسم	N1	اسم	
17	موسوم	موسوم	موسوم	موسوم	N1	اسم	
18	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
19	FATF	FATF	FATF	FATF	O	کلمه انگلیسی	
20	،	،	،	،	Si	علامت	
21	بساط	بساط	بساط	بساط	N1	اسم	
22	اتهام‌زنی	اتهام زنی	اتهام‌زنی	اتهام زنی	O	_
23	درمورد	درمورد	درمورد	درمورد	Pr1	حرف اضافه گروهی	
24	پشت‌پرده	پشت‌پرده	پشت‌پرده	پشت‌پرده	N1	اسم	
25	رشد	رشد	رشد	رشد	N1	اسم	
26	قیمت	قیمت|قیم	قیمت	قیمت|قیم + ت	N1|N1+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد	
27	دلار	دلار	دلار	دلار	N1	اسم	
28	بالا‌گرفته‌است	بالا گرفته	بالا‌گرفته‌است	بالا گرفته	O	_
29	.	.	.	.	Si	علامت	

0	علائم	علا|علا	علائم	علا + ی + م|علا + ی + م	N1+O|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد	
1	سیاسی	سیاسی|سیاس	سیاسی	سیاسی|سیاس + ی	A0|A0+O	صفت|صفت + ی	
2	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
3	رسانه‌ای	رسانه‌ای|رسانه|رسان|رس	رسانه	رسانه‌ای|رسانه + ای|رسان + ه + ای|رس + ان + ه + ای	A0|N1+O|V1+O+O|N1+O+O+O	صفت|اسم + ای|بن مضارع + ه + ای|اسم + ان + ه + ای	
4	از	از	از	از	Pr	حرف اضافه	
5	بروز	بروز	بروز	بروز	N1	اسم	
6	یک	یک	یک	یک	O	عدد حرفی	
7	جنگ	جنگ|جنگ|جنگ	جنگ	جنگ|جنگ|جنگ	V|N1|N1	فعل امر مثبت|اسم|اسم	
8	ارزی	ارزی|ارز|ارز	ارزی	ارزی|ارز + ی|ارز + ی	A0|V+O|N1+O	صفت|فعل مضارع ساده+دوم شخص مفرد|اسم + ی	
9	برسر	برسر	برسر	برسر	Pr1	حرف اضافه گروهی	
10	تأیید	تأیید	تأیید	تأیید	N1	اسم	
11	نهایی	نهایی|نه|نه	نهایی	نهایی|نه + ا + یی|نه + ا + یی	A0|O+O+O|N1+O+O	صفت|ریشه مضارع + ا + یی|اسم + ا + یی	
12	FATF	FATF	FATF	FATF	O	کلمه انگلیسی	
13	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
14	مراجع	مرجع	مراجع	مرجع	O	اسم مفرد جمع مکسر	
15	قانونی	قانونی|قانون	قانون	قانونی|قانون + ی	A0|N1+O	صفت|اسم + ی	
16	‌حکایت‌دارد	حکایت دارد	‌حکایت‌دارد	حکایت دارد	O	_
17	.	.	.	.	Si	علامت	

0	به‌گزارش	به‌گزارش|گزارش	به‌گزارش	به‌گزارش|به + گزارش	Pr1|O+N1	حرف اضافه گروهی|به + اسم	
